,Problem,Rationale,options,correct,annotated_formula,linear_formula,category,prompt,text,clean,cluster,gpt_generated,gpt_score
2861,steve traveled the first 2 hours of his journey at 55 mph and the remaining 3 hours of his journey at 80 mph . what is his average speed for the entire journey ?,"""distance traveled in 2 hours = 2 * 55 = 110 m distance traveled in 3 hours = 3 * 80 = 240 m total distance covered = 240 + 110 = 350 m total time = 2 + 3 = 5 h hence avg speed = total distance covered / total time taken = 350 / 5 = 70 mph answer : c""","a ) 60 mph , b ) 56.67 mph , c ) 70 mph , d ) 64 mph , e ) 66.67 mph",c,"add(divide(add(multiply(80, 3), multiply(55, 2)), add(3, 2)), subtract(divide(const_100, 3), const_0_33))","add(n0,n2)|divide(const_100,n2)|multiply(n2,n3)|multiply(n0,n1)|add(#2,#3)|subtract(#1,const_0_33)|divide(#4,#0)|add(#6,#5)|",physics,Category: physics # distance traveled in 2 hours = 2 * 55 = 110 m distance traveled in 3 hours = 3 * 80 = 240 m total distance covered = 240 + 110 = 350 m total time = 2 + 3 = 5 h hence avg speed = total distance covered / total time taken = 350 / 5 = 70 mph answer : c # ,Category: physics # distance traveled in 2 hours = 2 * 55 = 110 m distance traveled in 3 hours = 3 * 80 = 240 m total distance covered = 240 + 110 = 350 m total time = 2 + 3 = 5 h hence avg speed = total distance covered / total time taken = 350 / 5 = 70 mph answer : c # steve traveled the first 2 hours of his journey at 55 mph and the remaining 3 hours of his journey at 80 mph . what is his average speed for the entire journey ?,category physics distance traveled 2 hours 2 55 110 distance traveled 3 hours 3 80 240 total distance covered 240 110 350 total time 2 3 5 h hence avg speed total distance covered total time taken 350 5 70 mph answer c steve traveled first 2 hours journey 55 mph remaining 3 hours journey 80 mph average speed entire journey,0,"[""Category: physics # distance traveled in 2 hours = 2 * 55 = 110 m distance traveled in 3 hours = 3 * 80 = 240 m total distance covered = 240 + 110 = 350 m total time = 2 + 3 = 5 h hence avg speed = total distance covered / total time taken = 350 / 5 = 70 mph answer : c # т's speed was 5 miles per hour and she traveled the first half at 3 miles per hour. she traveled the second half at the rate of 4 miles per hour and the third half at the rate of 4 miles per hour. what was her average rate for the entire trip?""]","(0.71, 4.0)"
2873,"a flagstaff 17.5 m high casts a shadow of length 40.25 m . the height of the building , which casts a shadow of length 28.75 m under similar conditions will be :","""let height of the building be x meters 40.25 : 28.75 : : 17.5 < = > 40.25 x x = 28.75 x 17.5 x = 28.75 x 17.5 / 40.25 x = 12.5 answer : option b""","a ) 10 m , b ) 12.5 m , c ) 17.5 m , d ) 21.25 m , e ) none",b,"multiply(28.75, divide(17.5, 40.25))","divide(n0,n1)|multiply(n2,#0)|",physics,Category: physics # let height of the building be x meters 40.25 : 28.75 : : 17.5 < = > 40.25 x x = 28.75 x 17.5 x = 28.75 x 17.5 / 40.25 x = 12.5 answer : option b # ,"Category: physics # let height of the building be x meters 40.25 : 28.75 : : 17.5 < = > 40.25 x x = 28.75 x 17.5 x = 28.75 x 17.5 / 40.25 x = 12.5 answer : option b # a flagstaff 17.5 m high casts a shadow of length 40.25 m . the height of the building , which casts a shadow of length 28.75 m under similar conditions will be :",category physics let height building x meters 4025 2875 175 4025 x x 2875 x 175 x 2875 x 175 4025 x 125 answer option b flagstaff 175 high casts shadow length 4025 height building casts shadow length 2875 similar conditions,4,"['Category: physics # let height of the building be x meters 40.25 : 28.75 : : 17.5 < = > 40.25 x x = 28.75 x 17.5 x = 28.75 x 17.5 / 40.25 x = 12.5 answer : option b # т makes $ 23.50 per hour and spends $ 29.5 for every hour. for every hour worked by т, she earns $?']","(0.67, 0.0)"
2874,"x can do a piece of work in 4 hours ; y and z together can do it in 3 hours , while x and z together can do it in 2 hours . how long will y alone take to do it ?",x 1 hour ' s work = 1 / 4 ; y + z ' s hour ' s work = 1 / 3 x + y + z ' s 1 hour ' s work = 1 / 4 + 1 / 3 = 7 / 12 y ' s 1 hour ' s work = ( 7 / 12 - 1 / 2 ) = 1 / 12 . y alone will take 12 hours to do the work . c,"a ) 5 hours , b ) 10 hours , c ) 12 hours , d ) 24 hours , e ) 15 hours",c,"inverse(subtract(divide(const_1, 3), subtract(divide(const_1, 2), divide(const_1, 4))))","divide(const_1,n1)|divide(const_1,n2)|divide(const_1,n0)|subtract(#1,#2)|subtract(#0,#3)|inverse(#4)",physics,Category: physics # x 1 hour ' s work = 1 / 4 ; y + z ' s hour ' s work = 1 / 3 x + y + z ' s 1 hour ' s work = 1 / 4 + 1 / 3 = 7 / 12 y ' s 1 hour ' s work = ( 7 / 12 - 1 / 2 ) = 1 / 12 . y alone will take 12 hours to do the work . c # ,"Category: physics # x 1 hour ' s work = 1 / 4 ; y + z ' s hour ' s work = 1 / 3 x + y + z ' s 1 hour ' s work = 1 / 4 + 1 / 3 = 7 / 12 y ' s 1 hour ' s work = ( 7 / 12 - 1 / 2 ) = 1 / 12 . y alone will take 12 hours to do the work . c # x can do a piece of work in 4 hours ; y and z together can do it in 3 hours , while x and z together can do it in 2 hours . how long will y alone take to do it ?",category physics x 1 hour work 1 4 z hour work 1 3 x z 1 hour work 1 4 1 3 7 12 1 hour work 7 12 1 2 1 12 alone take 12 hours work c x piece work 4 hours z together 3 hours x z together 2 hours long alone take,2,"[""Category: physics # x 1 hour's work = 1 / 4 ; y + z's hour's work = 1 / 3 x + y + z's 1 hour's work = 1 / 4 + 1 / 3 = 7 / 12 y's 1 hour's work = ( 7 / 12 - 1 / 2 ) = 1 / 12. y alone will take 12 hours to do the work. c # ʵ s one hour worked for 1 hour, nickel. a new guy takes eight hours to do the work. how many hours will it take the new guy to do the work?""]","(0.58, 4.0)"
2878,"excluding stoppages , the speed of a bus is 84 kmph and including stoppages , it is 70 kmph . for how many minutes does the bus stop per hour ?","""due to stoppages , it covers 14 km less . time taken to cover 14 km = ( 14 / 84 x 60 ) min = 10 min answer : b""","a ) 12 min , b ) 10 min , c ) 15 min , d ) 14 min , e ) 13 min",b,"multiply(const_60, divide(subtract(84, 70), 84))","subtract(n0,n1)|divide(#0,n0)|multiply(#1,const_60)|",physics,"Category: physics # due to stoppages , it covers 14 km less . time taken to cover 14 km = ( 14 / 84 x 60 ) min = 10 min answer : b # ","Category: physics # due to stoppages , it covers 14 km less . time taken to cover 14 km = ( 14 / 84 x 60 ) min = 10 min answer : b # excluding stoppages , the speed of a bus is 84 kmph and including stoppages , it is 70 kmph . for how many minutes does the bus stop per hour ?",category physics due stoppages covers 14 km less time taken cover 14 km 14 84 x 60 min 10 min answer b excluding stoppages speed bus 84 kmph including stoppages 70 kmph many minutes bus stop per hour,0,"['Category: physics # due to stoppages, it covers 14 km less. time taken to cover 14 km = ( 14 / 84 x 60 ) min = 10 min answer : b # ʵ s walking speed is 84 km / hr and s distance is 84 km / hr. for how much time will they take to cover the same direction?']","(0.53, 1.0)"
2881,"the l . c . m of 22 , 54 , 108 , 135 and 198 is",answer : c ) 5940,"a ) 5942 , b ) 2887 , c ) 5940 , d ) 2888 , e ) 28881",c,"multiply(multiply(multiply(multiply(const_2, const_2), multiply(multiply(const_3, const_3), const_3)), divide(divide(divide(135, const_3), const_3), const_3)), divide(22, const_2))","divide(n0,const_2)|divide(n3,const_3)|multiply(const_2,const_2)|multiply(const_3,const_3)|divide(#1,const_3)|multiply(#3,const_3)|divide(#4,const_3)|multiply(#2,#5)|multiply(#6,#7)|multiply(#0,#8)",physics,Category: physics # answer : c ) 5940 # ,"Category: physics # answer : c ) 5940 # the l . c . m of 22 , 54 , 108 , 135 and 198 is",category physics answer c 5940 l c 22 54 108 135 198,4,"['Category: physics # answer : c ) 5940 # ƫ ’ s one day work was finished in 3 days. she works 6 days today, and works 5 days today, but she works 4 days per day. she works 5 days per day for the first day worked. she works 1 day on her 4 days every day for the last day she works. she works for the last day she works. she works for the last day she works. she works exactly on her cycle for the last day she works. she works 4 days so she works a day. her works 4 days so her overall works to her work. she spends 1 day on her work on her work on her work. she works at the gym and works 4 days so her total work on her work is 2 + 3 = 4. for the last day she works. she works at the gym. she works 4 times as fast as she works. she spends 2 / 4 of the part on her work on her work on her work on her work on her work, or 1 / 4 on her work on her work on her work on her work. she spends the rest on her work on her work on her work on her work on her work. she spends the rest on her work on her work on her work on her work on her work on her work on that she spends on her final work on her final days. she spends the rest on her work on her work on her final days on her work on her work on her initial day on her work. she spends the rest on her work on her last day on her work on her work on her work. what fraction of her work does she spend on her final days on her work on her final day?']","(0.56, 18.0)"
2883,"a girl sitting in a train which is travelling at 40 kmph observes that a goods train travelling in a opposite direction , takes 12 seconds to pass him . if the goods train is 1120 m long , find its speed .",relative speed = ( 1120 / 12 ) m / s = ( 1120 / 12 ) * ( 18 / 5 ) = 336 kmph speed of goods train = 336 - 40 = 296 kmph answer is b,"a ) 295 , b ) 296 , c ) 297 , d ) 298 , e ) 299",b,"subtract(divide(divide(1120, 12), const_0_2778), 40)","divide(n2,n1)|divide(#0,const_0_2778)|subtract(#1,n0)",physics,Category: physics # relative speed = ( 1120 / 12 ) m / s = ( 1120 / 12 ) * ( 18 / 5 ) = 336 kmph speed of goods train = 336 - 40 = 296 kmph answer is b # ,"Category: physics # relative speed = ( 1120 / 12 ) m / s = ( 1120 / 12 ) * ( 18 / 5 ) = 336 kmph speed of goods train = 336 - 40 = 296 kmph answer is b # a girl sitting in a train which is travelling at 40 kmph observes that a goods train travelling in a opposite direction , takes 12 seconds to pass him . if the goods train is 1120 m long , find its speed .",category physics relative speed 1120 12 1120 12 18 5 336 kmph speed goods train 336 40 296 kmph answer b girl sitting train travelling 40 kmph observes goods train travelling opposite direction takes 12 seconds pass goods train 1120 long find speed,1,['Category: physics # relative speed = ( 1120 / 12 ) m / s = ( 1120 / 12 ) * ( 18 / 5 ) = 336 kmph speed of goods train = 336 - 40 = 296 kmph answer is b # т from a jogger traveling at a speed of 12 kmph alongside a railway track in 12 hr and then slips down again at the speed of 20 kmph. the distance to be covered by the jogger in the same direction. the length of the track / rate of the train is?'],"(0.45, 2.0)"
2892,the speed of the boat in still water in 12 kmph . it can travel downstream through 45 kms in 3 hrs . in what time would it cover the same distance upstream ?,still water = 12 km / hr downstream = 45 / 3 = 15 km / hr upstream = > > still water = ( u + v / 2 ) = > > 12 = u + 15 / 2 = 9 km / hr so time taken in upstream = 45 / 9 = 5 hrs answer : d,"a ) 8 hours , b ) 6 hours , c ) 4 hours , d ) 5 hours , e ) 6 hours",d,"divide(45, subtract(12, subtract(divide(45, 3), 12)))","divide(n1,n2)|subtract(#0,n0)|subtract(n0,#1)|divide(n1,#2)",physics,Category: physics # still water = 12 km / hr downstream = 45 / 3 = 15 km / hr upstream = > > still water = ( u + v / 2 ) = > > 12 = u + 15 / 2 = 9 km / hr so time taken in upstream = 45 / 9 = 5 hrs answer : d # ,Category: physics # still water = 12 km / hr downstream = 45 / 3 = 15 km / hr upstream = > > still water = ( u + v / 2 ) = > > 12 = u + 15 / 2 = 9 km / hr so time taken in upstream = 45 / 9 = 5 hrs answer : d # the speed of the boat in still water in 12 kmph . it can travel downstream through 45 kms in 3 hrs . in what time would it cover the same distance upstream ?,category physics still water 12 km hr downstream 45 3 15 km hr upstream still water u v 2 12 u 15 2 9 km hr time taken upstream 45 9 5 hrs answer speed boat still water 12 kmph travel downstream 45 kms 3 hrs time would cover distance upstream,3,['Category: physics # still water = 12 km / hr downstream = 45 / 3 = 15 km / hr upstream = > > still water = ( u + v / 2 ) = > > 12 = u + 15 / 2 = 9 km / hr so time taken in upstream = 45 / 9 = 5 hrs answer : d # ƫ can swim downstream 12 km / hr and upstream 45 km / hr. it takes him 2 hour longer to swim back. what is the time taken to swim back against the current for the current?'],"(0.59, 1.0)"
2894,a train 120 m in length crosses a telegraph post in 12 seconds . the speed of the train is ?,"""s = 120 / 12 * 18 / 5 = 36 kmph answer : c""","a ) 16 kmph , b ) 88 kmph , c ) 36 kmph , d ) 18 kmph , e ) 19 kmph",c,"multiply(const_3_6, divide(120, 12))","divide(n0,n1)|multiply(#0,const_3_6)|",physics,Category: physics # s = 120 / 12 * 18 / 5 = 36 kmph answer : c # ,Category: physics # s = 120 / 12 * 18 / 5 = 36 kmph answer : c # a train 120 m in length crosses a telegraph post in 12 seconds . the speed of the train is ?,category physics 120 12 18 5 36 kmph answer c train 120 length crosses telegraph post 12 seconds speed train,1,['Category: physics # s = 120 / 12 * 18 / 5 = 36 kmph answer : c # т of 10 kmph and 15 kmph is 120 kmph. what is the speed of the train in kmph?'],"(0.69, 3.0)"
2896,"if ' a ' completes a piece of work in 3 days , which ' b ' completes it in 5 days and ' c ' takes 10 days to complete the same work . how long will they take to complete the work , if they work together ?","explanation : hint : a ' s one day work = 1 / 3 b ' s one day work = 1 / 5 c ' s one day work = 1 / 10 ( a + b + c ) ' s one day work = 1 / 3 + 1 / 5 + 1 / 10 = 1 / 1.5 hence , a , b & c together will take 1.5 days to complete the work . answer is a","a ) 1.5 days , b ) 4.5 days , c ) 7 days , d ) 9.8 days , e ) 9 days",a,"add(subtract(3, const_2), divide(5, 10))","divide(n1,n2)|subtract(n0,const_2)|add(#0,#1)",physics,"Category: physics # explanation : hint : a ' s one day work = 1 / 3 b ' s one day work = 1 / 5 c ' s one day work = 1 / 10 ( a + b + c ) ' s one day work = 1 / 3 + 1 / 5 + 1 / 10 = 1 / 1.5 hence , a , b & c together will take 1.5 days to complete the work . answer is a # ","Category: physics # explanation : hint : a ' s one day work = 1 / 3 b ' s one day work = 1 / 5 c ' s one day work = 1 / 10 ( a + b + c ) ' s one day work = 1 / 3 + 1 / 5 + 1 / 10 = 1 / 1.5 hence , a , b & c together will take 1.5 days to complete the work . answer is a # if ' a ' completes a piece of work in 3 days , which ' b ' completes it in 5 days and ' c ' takes 10 days to complete the same work . how long will they take to complete the work , if they work together ?",category physics explanation hint one day work 1 3 b one day work 1 5 c one day work 1 10 b c one day work 1 3 1 5 1 10 1 15 hence b c together take 15 days complete work answer completes piece work 3 days b completes 5 days c takes 10 days complete work long take complete work work together,2,"[""Category: physics # explanation : hint : a's one day work = 1 / 3 b's one day work = 1 / 5 c's one day work = 1 / 10 ( a + b + c )'s one day work = 1 / 3 + 1 / 5 + 1 / 10 = 1 / 1.5 hence, a, b & c together will take 1.5 days to complete the work. answer is a # �u can do a piece of work in 3 days, but with the help of her friend help her friend help her friend finish it in 10 days. they began the work together but the answer was only 2 days earlier. what time did they take to do the work?""]","(0.58, 2.0)"
2902,"noelle walks from point a to point b at an average speed of 3 kilometers per hour . at what speed , in kilometers per hour , must noelle walk from point b to point a so that her average speed for the entire trip is 4 kilometers per hour ?","""let ' s suppose that speed while returning was xkm / h since the distance is same , we can apply the formula of avg speed avg speed = 2 s 1 s 2 / s 1 + s 2 4 = 2 * 3 * x / 3 + x x = 6 b is the answer""","a ) 5.75 , b ) 6 , c ) 7.25 , d ) 7.5 , e ) 7.75",b,"divide(multiply(4, 3), subtract(multiply(const_2, 3), 4))","multiply(n0,n1)|multiply(n0,const_2)|subtract(#1,n1)|divide(#0,#2)|",physics,"Category: physics # let ' s suppose that speed while returning was xkm / h since the distance is same , we can apply the formula of avg speed avg speed = 2 s 1 s 2 / s 1 + s 2 4 = 2 * 3 * x / 3 + x x = 6 b is the answer # ","Category: physics # let ' s suppose that speed while returning was xkm / h since the distance is same , we can apply the formula of avg speed avg speed = 2 s 1 s 2 / s 1 + s 2 4 = 2 * 3 * x / 3 + x x = 6 b is the answer # noelle walks from point a to point b at an average speed of 3 kilometers per hour . at what speed , in kilometers per hour , must noelle walk from point b to point a so that her average speed for the entire trip is 4 kilometers per hour ?",category physics let suppose speed returning xkm h since distance apply formula avg speed avg speed 2 1 2 1 2 4 2 3 x 3 x x 6 b answer noelle walks point point b average speed 3 kilometers per hour speed kilometers per hour must noelle walk point b point average speed entire trip 4 kilometers per hour,0,"[""Category: physics # let's suppose that speed while returning was xkm / h since the distance is same, we can apply the formula of avg speed avg speed = 2 s 1 s 2 / s 1 + s 2 4 = 2 * 3 * x / 3 + x x = 6 b is the answer # т makes a round trip to a place at hotel p's rate. she travels first half of the trip at the rate of 2 r miles per hour and second half at the rate of 4 r miles per hour. what is her average rate on travel from the beginning of the trip?""]","(0.51, 1.0)"
2905,"a honey bee flies for 10 seconds , from a daisy to a rose . it immediately continues to a poppy , flying for 6 additional seconds . the distance the bee passed , flying from the daisy to the rose is 3 meters longer than the distance it passed flying from the rose to the poppy . the bee flies to the poppy at 3 meters per second faster than her speed flying to the rose . the bee flies how many meters per second from the daisy to the rose ?","""let the speed be ' s ' and let the distance between rose and poppy be ' x ' the problem boils down to : rose to poppy : s + 3 = x / 6 - - - - - - - 1 daisy to rose : s = ( x + 3 ) / 10 - - - - - - 2 so from 1 we can re write x as x = 6 s + 18 substitute the value of x in 2 gives us s = 4.2 m / s a""","a ) 4.2 , b ) 5.2 , c ) 6 , d ) 8 , e ) 10",a,"divide(add(multiply(6, 3), 3), 10)","multiply(n1,n3)|add(n2,#0)|divide(#1,n0)|",physics,Category: physics # let the speed be ' s ' and let the distance between rose and poppy be ' x ' the problem boils down to : rose to poppy : s + 3 = x / 6 - - - - - - - 1 daisy to rose : s = ( x + 3 ) / 10 - - - - - - 2 so from 1 we can re write x as x = 6 s + 18 substitute the value of x in 2 gives us s = 4.2 m / s a # ,"Category: physics # let the speed be ' s ' and let the distance between rose and poppy be ' x ' the problem boils down to : rose to poppy : s + 3 = x / 6 - - - - - - - 1 daisy to rose : s = ( x + 3 ) / 10 - - - - - - 2 so from 1 we can re write x as x = 6 s + 18 substitute the value of x in 2 gives us s = 4.2 m / s a # a honey bee flies for 10 seconds , from a daisy to a rose . it immediately continues to a poppy , flying for 6 additional seconds . the distance the bee passed , flying from the daisy to the rose is 3 meters longer than the distance it passed flying from the rose to the poppy . the bee flies to the poppy at 3 meters per second faster than her speed flying to the rose . the bee flies how many meters per second from the daisy to the rose ?",category physics let speed let distance rose poppy x problem boils rose poppy 3 x 6 1 daisy rose x 3 10 2 1 write x x 6 18 substitute value x 2 gives us 42 honey bee flies 10 seconds daisy rose immediately continues poppy flying 6 additional seconds distance bee passed flying daisy rose 3 meters longer distance passed flying rose poppy bee flies poppy 3 meters per second faster speed flying rose bee flies many meters per second daisy rose,0,"[""Category: physics # let the speed be's'and let the distance between rose and poppy be'x'the problem boils down to : rose to poppy : s + 3 = x / 6 - - - - - - - 1 daisy to rose : s = ( x + 3 ) / 10 - - - - - - 2 so from 1 we can re write x as x = 6 s + 18 substitute the value of x in 2 gives us s = 4.2 m / s a # т and gujarati each have decided to walk along a circular track. they decided to walk along the track, but the difference between the start of the track and the distance between the end of the track. after they passed the track, they divided their speeds by 6 each. what was their average speed?""]","(0.54, 4.0)"
2909,a train 150 m long running at 72 kmph crosses a platform in 25 sec . what is the length of the platform ?,d = 72 * 5 / 18 = 25 = 500 – 150 = 299 . answer : c,"a ) 288 , b ) 236 , c ) 350 , d ) 299 , e ) 266",c,"subtract(multiply(25, multiply(72, const_0_2778)), 150)","multiply(n1,const_0_2778)|multiply(n2,#0)|subtract(#1,n0)|",physics,Category: physics # d = 72 * 5 / 18 = 25 = 500 – 150 = 299 . answer : c # ,Category: physics # d = 72 * 5 / 18 = 25 = 500 – 150 = 299 . answer : c # a train 150 m long running at 72 kmph crosses a platform in 25 sec . what is the length of the platform ?,category physics 72 5 18 25 500 150 299 answer c train 150 long running 72 kmph crosses platform 25 sec length platform,1,"['Category: physics # d = 72 * 5 / 18 = 25 = 500 – 150 = 299. answer : c # ƫ ng a bike is 100 meters in circumference. if the rear wheel of the circular track was 72 meters in circumference, what was the circumference of the circle?']","(0.64, 4.0)"
2912,a truck covers a distance of 376 km at a certain speed in 8 hours . how much time would a car take at an average speed which is 18 kmph more than that of the speed of the truck to cover a distance which is 14 km more than that travelled by the truck ?,"""explanation : speed of the truck = distance / time = 376 / 8 = 47 kmph now , speed of car = ( speed of truck + 18 ) kmph = ( 47 + 18 ) = 65 kmph distance travelled by car = 376 + 14 = 390 km time taken by car = distance / speed = 390 / 65 = 6 hours . answer – a""","a ) 6 hours , b ) 5 hours , c ) 7 hours , d ) 8 hours , e ) none",a,"divide(add(376, 14), add(divide(376, 8), 18))","add(n0,n3)|divide(n0,n1)|add(n2,#1)|divide(#0,#2)|",physics,"Category: physics # explanation : speed of the truck = distance / time = 376 / 8 = 47 kmph now , speed of car = ( speed of truck + 18 ) kmph = ( 47 + 18 ) = 65 kmph distance travelled by car = 376 + 14 = 390 km time taken by car = distance / speed = 390 / 65 = 6 hours . answer – a # ","Category: physics # explanation : speed of the truck = distance / time = 376 / 8 = 47 kmph now , speed of car = ( speed of truck + 18 ) kmph = ( 47 + 18 ) = 65 kmph distance travelled by car = 376 + 14 = 390 km time taken by car = distance / speed = 390 / 65 = 6 hours . answer – a # a truck covers a distance of 376 km at a certain speed in 8 hours . how much time would a car take at an average speed which is 18 kmph more than that of the speed of the truck to cover a distance which is 14 km more than that travelled by the truck ?",category physics explanation speed truck distance time 376 8 47 kmph speed car speed truck 18 kmph 47 18 65 kmph distance travelled car 376 14 390 km time taken car distance speed 390 65 6 hours answer truck covers distance 376 km certain speed 8 hours much time would car take average speed 18 kmph speed truck cover distance 14 km travelled truck,0,"['Category: physics # explanation : speed of the truck = distance / time = 376 / 8 = 47 kmph now, speed of car = ( speed of truck + 18 ) kmph = ( 47 + 18 ) = 65 kmph distance travelled by car = 376 + 14 = 390 km time taken by car = distance / speed = 390 / 65 = 6 hours. answer – a # т moves 5 km per hour to keep an average speed of 7 km per hour. she travels first half of the distance at 18 km per hour and second half at 14 km per hour. find the total journey.']","(0.66, 2.0)"
2915,a mobile battery in 1 hour charges to 20 percent . how much time ( in minute ) will it require more to charge to 55 percent .,1 hr = 20 percent . thus 15 min = 5 percent . now to charge 55 percent 165 min . answer : d,"a ) 145 , b ) 150 , c ) 175 , d ) 165 , e ) 130",d,"multiply(divide(55, 20), const_60)","divide(n2,n1)|multiply(#0,const_60)|",physics,Category: physics # 1 hr = 20 percent . thus 15 min = 5 percent . now to charge 55 percent 165 min . answer : d # ,Category: physics # 1 hr = 20 percent . thus 15 min = 5 percent . now to charge 55 percent 165 min . answer : d # a mobile battery in 1 hour charges to 20 percent . how much time ( in minute ) will it require more to charge to 55 percent .,category physics 1 hr 20 percent thus 15 min 5 percent charge 55 percent 165 min answer mobile battery 1 hour charges 20 percent much time minute require charge 55 percent,0,"['Category: physics # 1 hr = 20 percent. thus 15 min = 5 percent. now to charge 55 percent 165 min. answer : d # т can do a piece of work in 20 hours and 15 minutes. it takes him an hour more to do the piece of work, then he goes away. what is the approximate time it will take т to take to finish the work?']","(0.48, 3.0)"
2918,"there are two cars . one is 90 miles north of the other . simultaneously , the car to the north is driven westward at 25 miles per hour and the other car is driven eastward at 35 miles per hour . how many miles apart are the cars after 2 hours ?","""here , drawing a quick sketch of the ' actions ' described will end in a diagonal line that you canbuilda right triangle around : the right triangle will have a base of 90 and a height of 120 . the hidden pattern here is a 3 / 4 / 5 right triangle ( the 90 lines up with the ' 3 ' and the 120 lines up with the ' 4 ' ) . in this way , you can deduce that each side is ' 30 times ' bigger than it ' s corresponding side : 3 / 4 / 5 becomes 90 / 120 / 150 thus the distance between the two cars is the length of the hypotenuse of this larger right triangle . . . final answer : d""","a ) 120 , b ) 130 , c ) 140 , d ) 150 , e ) 160",d,"sqrt(add(power(add(multiply(35, 2), multiply(25, 2)), const_2), power(multiply(35, 2), const_2)))","multiply(n2,n3)|multiply(n1,n3)|add(#0,#1)|power(#0,const_2)|power(#2,const_2)|add(#4,#3)|sqrt(#5)|",physics,"Category: physics # here , drawing a quick sketch of the ' actions ' described will end in a diagonal line that you canbuilda right triangle around : the right triangle will have a base of 90 and a height of 120 . the hidden pattern here is a 3 / 4 / 5 right triangle ( the 90 lines up with the ' 3 ' and the 120 lines up with the ' 4 ' ) . in this way , you can deduce that each side is ' 30 times ' bigger than it ' s corresponding side : 3 / 4 / 5 becomes 90 / 120 / 150 thus the distance between the two cars is the length of the hypotenuse of this larger right triangle . . . final answer : d # ","Category: physics # here , drawing a quick sketch of the ' actions ' described will end in a diagonal line that you canbuilda right triangle around : the right triangle will have a base of 90 and a height of 120 . the hidden pattern here is a 3 / 4 / 5 right triangle ( the 90 lines up with the ' 3 ' and the 120 lines up with the ' 4 ' ) . in this way , you can deduce that each side is ' 30 times ' bigger than it ' s corresponding side : 3 / 4 / 5 becomes 90 / 120 / 150 thus the distance between the two cars is the length of the hypotenuse of this larger right triangle . . . final answer : d # there are two cars . one is 90 miles north of the other . simultaneously , the car to the north is driven westward at 25 miles per hour and the other car is driven eastward at 35 miles per hour . how many miles apart are the cars after 2 hours ?",category physics drawing quick sketch actions described end diagonal line canbuilda right triangle around right triangle base 90 height 120 hidden pattern 3 4 5 right triangle 90 lines 3 120 lines 4 way deduce side 30 times bigger corresponding side 3 4 5 becomes 90 120 150 thus distance two cars length hypotenuse larger right triangle final answer two cars one 90 miles north simultaneously car north driven westward 25 miles per hour car driven eastward 35 miles per hour many miles apart cars 2 hours,0,"[""Category: physics # here, drawing a quick sketch of the'actions'described will end in a diagonal line that you canbuilda right triangle around : the right triangle will have a base of 90 and a height of 120. the hidden pattern here is a 3 / 4 / 5 right triangle ( the 90 lines up with the'3'and the 120 lines up with the'4'). in this way, you can deduce that each side is'30 times'bigger than it's corresponding side : 3 / 4 / 5 becomes 90 / 120 / 150 thus the distance between the two cars is the length of the hypotenuse of this larger right triangle... final answer : d # ƫ ng a mini - circle has a diameter of 7 feet and a height of 8 feet. if the volume of a pizza is kept in mind, then what is its circumference?""]","(0.78, 18.0)"
2919,"a rectangular box measures internally 1.6 m long , 1 m broad and 60 cm deep . the number of cubical box each of edge 20 cm that can be packed inside the box is :","""explanation : number of blocks = ( 160 x 100 x 60 / 20 x 20 x 20 ) = 120 answer : d""","a ) 30 , b ) 60 , c ) 90 , d ) 120 , e ) 140",d,"volume_rectangular_prism(divide(1.6, divide(20, const_100)), divide(1, divide(20, const_100)), divide(divide(60, const_100), divide(20, const_100)))","divide(n3,const_100)|divide(n2,const_100)|divide(n0,#0)|divide(n1,#0)|divide(#1,#0)|volume_rectangular_prism(#2,#3,#4)|",physics,Category: physics # explanation : number of blocks = ( 160 x 100 x 60 / 20 x 20 x 20 ) = 120 answer : d # ,"Category: physics # explanation : number of blocks = ( 160 x 100 x 60 / 20 x 20 x 20 ) = 120 answer : d # a rectangular box measures internally 1.6 m long , 1 m broad and 60 cm deep . the number of cubical box each of edge 20 cm that can be packed inside the box is :",category physics explanation number blocks 160 x 100 x 60 20 x 20 x 20 120 answer rectangular box measures internally 16 long 1 broad 60 cm deep number cubical box edge 20 cm packed inside box,4,"['Category: physics # explanation : number of blocks = ( 160 x 100 x 60 / 20 x 20 x 20 ) = 120 answer : d # ƫ ng together on a block. each block contains 60 % water by volume and each block contains 60 % water by volume. if the process of them is process of melting the cube, what part of the cube will be unspent?']","(0.4, 2.0)"
